Section,BAT ID,Object,Redshift,D,Opt. class,Nuc. morph.,F_nu(N-band),F_nu(Q-band),d_unr,R_AS,R_tot
,,,,(Mpc),,,(mJy),(mJy),(pc),,
\ref{app:NGC4593},97,NGC 4593,0.0090,45.6,1,ellip.,227,352,61.1,0.66,0.484
\ref{app:NGC4594},,NGC 4594,0.0034,9.1,L,o,4,,14.4,0.23,0.006
\ref{app:NGC4636},,NGC 4636,0.0031,15.6,L,?,7,,23.9,,0.033
\ref{app:NGC4698},,NGC 4698,0.0034,24.4,2,?,5,,41.5,,0.032
\ref{app:NGC4736},,NGC 4736,0.0010,4.9,L,circ.,13,57,13.1,0.11,0.003
\ref{app:NGC4746},,NGC 4746,0.0059,33.5,L/H*,?,11,,59.5,,0.029
\ref{app:NGC4785},,NGC 4785,0.0123,59.0,2*,?,17,,105,,0.056
\ref{app:NGC4941},,NGC 4941,0.0037,21.2,2,-,76,232,28.8,0.99,0.411
\ref{app:NGC4945},,NGC 4945,0.0019,3.7,Cp,comp.,22,95,5.68,0.19,0.001
\ref{app:NGC4992},102,NGC 4992,0.0251,119.0,1/2/L/N,?,80,,182,0.99,
\ref{app:NGC5005},,NGC 5005,0.0032,16.9,L,ellip.,7,,57.5,0.05,0.004
\ref{app:NGC5033},,NGC 5033,0.0029,18.1,1.2,ellip.,16,,32.8,0.13,0.009
\ref{app:NGC5135},,NGC 5135,0.0137,66.0,2,-,132,,97.8,0.29,0.209
\ref{app:NGC5252},106,NGC 5252,0.0230,109.0,1.9,?,69,,157,1.18,
\ref{app:NGC5258},,NGC 5258,0.0225,107.0,L/H*,?,19,,181,0.34,0.034
\ref{app:NGC5273},,NGC 5273,0.0035,15.3,1.5,o,20,,30.3,0.67,0.170
\ref{app:NGC5347},,NGC 5347,0.0078,38.1,2,?,278,567,94.1,1.23,0.900
\ref{app:NGC5363},,NGC 5363,0.0038,21.0,L,ellip.,2,,35,0.04,0.011
\ref{app:NGC5427},,NGC 5427,0.0087,29.4,2,?,20,,58.4,0.26,0.015
\ref{app:NGC5506},110,NGC 5506,0.0062,31.6,2,circ.,871,1697,49.9,0.74,0.675
\ref{app:NGC5548},112,NGC 5548,0.0172,80.7,1.5,o,124,,132,0.57,0.288
\ref{app:NGC5643},,NGC 5643,0.0040,20.9,2,o,254,,29.9,0.66,0.129
\ref{app:NGC5728},115,NGC 5728,0.0094,45.4,1.9/2,circ.,49,123,76.7,0.38,0.234
\ref{app:NGC5813},,NGC 5813,0.0066,29.7,L:*,?,7,,49.1,,0.223
\ref{app:NGC5866},,NGC 5866,0.0022,14.1,L/H*,?,9,,41.4,0.20,0.025
\ref{app:NGC5953},,NGC 5953,0.0066,31.4,Cp,?,29,,59.6,0.14,0.036
\ref{app:NGC5995},,NGC 5995,0.0252,117.0,1.9,-,332,,175,0.88,0.850
